기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반	비고
2018	성동구	송정동	462	355	107	92	67	25	29	18	11	341	270	71	-
2018	성동구	용답동	717	560	157	228	171	57	72	60	12	417	329	88	-
2018	성동구	왕십리도선동	869	624	245	138	98	40	42	29	13	689	497	192	-
2018	성동구	금호2.3가동	852	608	244	115	83	32	46	24	22	691	501	190	-
2018	성동구	옥수동	698	480	218	64	47	17	32	16	16	602	417	185	-
2018	광진구	소계	10,257	7,524	2,733	1,922	1,309	613	764	466	298	7,571	5,749	1,822	-
2018	광진구	화양동	523	398	125	85	61	24	26	2	24	412	335	77	-
2018	광진구	군자동	681	524	157	177	123	54	73	56	17	431	345	86	-
2018	광진구	중곡1동	521	432	89	118	90	28	29	21	8	374	321	53	-
2018	광진구	중곡2동	648	511	137	89	57	32	61	37	24	498	417	81	-
2018	광진구	중곡3동	666	538	128	149	118	31	35	15	20	482	405	77	-
2018	광진구	중곡4동	1,082	826	256	297	181	116	82	48	34	703	597	106	-
2018	광진구	능동	282	221	61	47	30	17	26	13	13	209	178	31	-
2018	광진구	구의1동	640	510	130	101	70	31	48	28	20	491	412	79	-
2018	광진구	구의2동	918	626	292	145	87	58	62	44	18	711	495	216	-
2018	광진구	구의3동	801	466	335	68	52	16	42	18	24	691	396	295	-
2018	광진구	광장동	522	343	179	57	35	22	23	11	12	442	297	145	-
2018	광진구	자양1동	765	618	147	203	146	57	103	89	14	459	383	76	-
2018	광진구	자양2동	634	493	141	126	96	30	30	18	12	478	379	99	-
2018	광진구	자양3동	700	314	386	54	10	44	37	12	25	609	292	317	-
2018	광진구	자양4동	874	704	170	206	153	53	87	54	33	581	497	84	-
2018	동대문구	소계	15,624	11,751	3,873	2,043	1,201	842	177	110	67	13,404	10,440	2,964	-
2018	동대문구	회기동	418	287	131	94	64	30	7	3	4	317	220	97	-
2018	동대문구	휘경1동	608	458	150	127	79	48	9	3	6	472	376	96	-
2018	동대문구	휘경2동	763	567	196	135	83	52	12	9	3	616	475	141	-
2018	동대문구	청량리동	1,678	1,277	401	163	90	73	17	14	3	1,498	1,173	325	-
2018	동대문구	용신동	1,767	1,350	417	179	91	88	8	6	2	1,580	1,253	327	-
2018	동대문구	제기동	1,770	1,343	427	164	90	74	21	13	8	1,585	1,240	345	-
2018	동대문구	전농1동	1,788	1,356	432	157	90	67	19	17	2	1,612	1,249	363	-
2018	동대문구	전농2동	705	540	165	145	84	61	10	7	3	550	449	101	-
2018	동대문구	답십리1동	916	654	262	132	87	45	12	5	7	772	562	210	-
2018	동대문구	답십리2동	1,155	858	297	154	90	64	14	8	6	987	760	227	-
2018	동대문구	장안1동	1,185	927	258	151	92	59	19	9	10	1,015	826	189	-
2018	동대문구	장안2동	963	729	234	143	84	59	11	6	5	809	639	170	-
2018	동대문구	이문1동	1,113	807	306	144	88	56	5	4	1	964	715	249	-
2018	동대문구	이문2동	795	598	197	155	89	66	13	6	7	627	503	124	-
2018	중랑구	소계	15,566	12,309	3,257	4,005	2,907	1,098	1,616	1,089	527	9,945	8,313	1,632	-
2018	중랑구	면목2동	1,185	964	221	274	205	69	79	53	26	832	706	126	-
2018	중랑구	면목4동	865	732	133	319	261	58	76	54	22	470	417	53	-
2018	중랑구	면목5동	411	286	125	75	28	47	29	9	20	307	249	58	-
2018	중랑구	면목7동	857	676	181	148	102	46	59	34	25	650	540	110	-
2018	중랑구	상봉1동	766	604	162	250	186	64	69	43	26	447	375	72	-
2018	중랑구	상봉2동	915	672	243	140	107	33	39	18	21	736	547	189	-
2018	중랑구	중화1동	700	559	141	152	105	47	49	29	20	499	425	74	-
2018	중랑구	중화2동	1,462	1,247	215	494	400	94	73	54	19	895	793	102	-
2018	중랑구	묵1동	880	686	194	184	114	70	60	35	25	636	537	99	-
2018	중랑구	묵2동	715	565	150	167	123	44	54	35	19	494	407	87	-
2018	중랑구	망우3동	871	684	187	271	205	66	62	40	22	538	439	99	-
2018	중랑구	신내1동	942	769	173	300	188	112	123	69	54	519	512	7	-
2018	중랑구	신내2동	889	663	226	314	221	93	79	58	21	496	384	112	-
2018	중랑구	면목본동	1,593	1,233	360	315	232	83	624	456	168	654	545	109	-
2018	중랑구	면목3.8동	1,158	922	236	260	191	69	66	47	19	832	684	148	-
2018	중랑구	망우본동	1,357	1,047	310	342	239	103	75	55	20	940	753	187	-
2018	성북구	소계	16,698	12,176	4,522	2,914	2,071	843	860	529	331	12,924	9,576	3,348	-
2018	성북구	돈암1동	611	449	162	116	89	27	36	27	9	459	333	126	-
2018	성북구	돈암2동	501	340	161	92	57	35	30	13	17	379	270	109	-
2018	성북구	안암동	603	431	172	101	77	24	28	18	10	474	336	138	-
2018	성북구	보문동	676	474	202	112	74	38	32	21	11	532	379	153	-
2018	성북구	정릉1동	580	437	143	81	57	24	28	16	12	471	364	107	-
2018	성북구	정릉2동	912	689	223	148	101	47	49	36	13	715	552	163	-
2018	성북구	정릉3동	914	647	267	188	132	56	53	33	20	673	482	191	-
2018	성북구	정릉4동	1,076	827	249	161	117	44	41	30	11	874	680	194	-
2018	성북구	길음1동	817	616	201	130	93	37	43	19	24	644	504	140	-
2018	성북구	길음2동	554	419	135	102	74	28	24	7	17	428	338	90	-
2018	성북구	월곡1동	1,003	754	249	189	120	69	60	41	19	754	593	161	-
2018	성북구	월곡2동	734	550	184	158	111	47	40	28	12	536	411	125	-
2018	성북구	장위1동	921	711	210	180	142	38	48	29	19	693	540	153	-
2018	성북구	장위2동	797	579	218	163	118	45	40	24	16	594	437	157	-
2018	성북구	장위3동	492	371	121	102	82	20	20	13	7	370	276	94	-
2018	성북구	성북동	741	504	237	83	45	38	26	17	9	632	442	190	-
2018	성북구	삼선동	1,103	787	316	181	137	44	64	41	23	858	609	249	-
2018	성북구	동선동	644	469	175	93	64	29	46	24	22	505	381	124	-
2018	성북구	종암동	1,600	1,047	553	243	171	72	69	47	22	1,288	829	459	-
2018	성북구	석관동	1,419	1,075	344	291	210	81	83	45	38	1,045	820	225	-
2018	강북구	소계	15,653	11,441	4,212	3,142	2,281	861	1,578	1,061	517	10,933	8,099	2,834	-
2018	강북구	번1동	927	691	236	172	126	46	66	48	18	689	517	172	-
2018	강북구	번2동	936	705	231	219	151	68	191	133	58	526	421	105	-
2018	강북구	번3동	1,127	894	233	405	307	98	293	229	64	429	358	71	-
2018	강북구	수유1동	1,173	831	342	234	183	51	92	71	21	847	577	270	-
2018	강북구	수유2동	979	688	291	198	131	67	92	53	39	689	504	185	-
2018	강북구	수유3동	1,148	875	273	198	152	46	83	62	21	867	661	206	-
2018	강북구	삼양동	1,424	1,030	394	299	213	86	106	71	35	1,019	746	273	-
2018	강북구	미아동	1,202	899	303	196	149	47	99	69	30	907	681	226	-
2018	강북구	송중동	1,380	999	381	225	153	72	119	79	40	1,036	767	269	-
2018	강북구	송천동	1,702	1,243	459	305	222	83	108	59	49	1,289	962	327	-
2018	강북구	삼각산동	900	631	269	256	178	78	83	50	33	561	403	158	-
2018	강북구	우이동	1,123	779	344	141	96	45	88	51	37	894	632	262	-
2018	강북구	인수동	1,632	1,176	456	294	220	74	158	86	72	1,180	870	310	-
2018	도봉구	소계	16,402	11,829	4,573	2,275	1,579	696	1,966	1,213	753	12,161	9,037	3,124	-
2018	도봉구	쌍문1동	1,049	772	277	132	98	34	79	46	33	838	628	210	-
2018	도봉구	쌍문2동	1,084	727	357	131	77	54	109	54	55	844	596	248	-
2018	도봉구	쌍문3동	832	637	195	126	83	43	41	31	10	665	523	142	-
2018	도봉구	쌍문4동	576	361	215	43	24	19	95	47	48	438	290	148	-
2018	도봉구	방학1동	1,659	1,239	420	355	264	91	145	92	53	1,159	883	276	-
2018	도봉구	방학2동	1,435	1,070	365	242	175	67	120	65	55	1,073	830	243	-
2018	도봉구	방학3동	750	498	252	28	20	8	29	15	14	693	463	230	-
2018	도봉구	창1동	1,011	750	261	89	63	26	20	13	7	902	674	228	-
2018	도봉구	창2동	1,309	957	352	247	159	88	158	106	52	904	692	212	-
2018	도봉구	창3동	1,742	1,229	513	178	136	42	876	578	298	688	515	173	-
2018	도봉구	창4동	841	556	285	65	43	22	32	10	22	744	503	241	-
2018	도봉구	창5동	809	551	258	59	19	40	44	20	24	706	512	194	-
2018	도봉구	도봉1동	1,705	1,289	416	287	207	80	106	63	43	1,312	1,019	293	-
2018	도봉구	도봉2동	1,600	1,193	407	293	211	82	112	73	39	1,195	909	286	-
2018	노원구	소계	19,929	12,994	6,935	4,903	3,271	1,632	1,634	1,019	615	13,392	8,704	4,688	-
2018	노원구	월계1동	905	639	266	138	102	36	54	37	17	713	500	213	-
2018	노원구	월계2동	1,495	998	497	639	410	229	183	93	90	673	495	178	-
2018	노원구	월계3동	1,288	874	414	357	247	110	106	86	20	825	541	284	-
2018	노원구	공릉2동	903	581	322	96	58	38	48	27	21	759	496	263	-
2018	노원구	하계1동	1,243	815	428	470	332	138	120	71	49	653	412	241	-
2018	노원구	하계2동	639	410	229	162	107	55	53	38	15	424	265	159	-
2018	노원구	중계본동	636	411	225	91	71	20	57	41	16	488	299	189	-
2018	노원구	중계1동	500	301	199	86	62	24	42	25	17	372	214	158	-
2018	노원구	중계4동	991	682	309	287	206	81	124	89	35	580	387	193	-
2018	노원구	상계1동	1,252	812	440	260	144	116	112	68	44	880	600	280	-
2018	노원구	상계2동	711	481	230	132	90	42	72	52	20	507	339	168	-
2018	노원구	상계5동	1,281	848	433	247	175	72	89	62	27	945	611	334	-
2018	노원구	상계8동	537	334	203	38	11	27	28	18	10	471	305	166	-
2018	노원구	상계9동	698	414	284	52	30	22	36	22	14	610	362	248	-
2018	노원구	상계10동	426	246	180	34	13	21	26	15	11	366	218	148	-
2018	노원구	상계3.4동	1,760	1,153	607	566	387	179	38	26	12	1,156	740	416	-
2018	노원구	상계6.7동	1,095	624	471	58	38	20	41	33	8	996	553	443	-
2018	노원구	중계2.3동	2,106	1,343	763	764	528	236	287	145	142	1,055	670	385	-
2018	노원구	공릉1동	1,463	1,028	435	426	260	166	118	71	47	919	697	222	-
2018	은평구	소계	18,865	13,517	5,348	4,617	3,158	1,459	1,207	668	539	13,041	9,691	3,350	-
2018	은평구	녹번동	1,707	1,186	521	303	207	96	94	50	44	1,310	929	381	-
2018	은평구	불광1동	1,849	1,272	577	375	258	117	90	46	44	1,384	968	416	-
2018	은평구	갈현1동	1,103	765	338	296	204	92	77	40	37	730	521	209	-
2018	은평구	갈현2동	1,013	699	314	225	167	58	74	41	33	714	491	223	-
2018	은평구	구산동	1,099	776	323	302	215	87	61	22	39	736	539	197	-
2018	은평구	대조동	1,524	1,098	426	385	248	137	81	47	34	1,058	803	255	-
2018	은평구	응암1동	933	636	297	183	118	65	53	30	23	697	488	209	-
2018	은평구	응암2동	688	459	229	186	126	60	43	26	17	459	307	152	-
2018	은평구	신사1동	904	657	247	156	107	49	52	22	30	696	528	168	-
2018	은평구	신사2동	828	563	265	176	113	63	52	28	24	600	422	178	-
2018	은평구	증산동	668	497	171	123	73	50	40	28	12	505	396	109	-
2018	은평구	수색동	572	407	165	160	114	46	48	23	25	364	270	94	-
2018	은평구	진관동	1,076	834	242	195	135	60	92	53	39	789	646	143	-
2018	은평구	불광2동	1,548	1,166	382	475	321	154	123	79	44	950	766	184	-
2018	은평구	응암3동	1,552	1,126	426	362	240	122	116	69	47	1,074	817	257	-
2018	은평구	역촌동	1,801	1,376	425	715	512	203	111	64	47	975	800	175	-
2018	서대문구	소계	11,331	8,364	2,967	2,033	1,387	646	533	340	193	8,765	6,637	2,128	-
2018	서대문구	천연동	931	650	281	256	166	90	36	16	20	639	468	171	-
2018	서대문구	홍제1동	832	611	221	135	93	42	27	17	10	670	501	169	-
2018	서대문구	홍제3동	775	542	233	143	93	50	56	30	26	576	419	157	-
2018	서대문구	홍제2동	539	412	127	106	85	21	56	37	19	377	290	87	-
2018	서대문구	홍은1동	968	704	264	215	146	69	56	35	21	697	523	174	-
2018	서대문구	홍은2동	966	716	250	150	110	40	48	31	17	768	575	193	-
2018	서대문구	남가좌1동	353	289	64	54	36	18	11	8	3	288	245	43	-
2018	서대문구	남가좌2동	937	699	238	217	141	76	53	37	16	667	521	146	-
2018	서대문구	북가좌1동	437	331	106	75	53	22	18	13	5	344	265	79	-
2018	서대문구	북가좌2동	1,333	1,033	300	212	150	62	51	32	19	1,070	851	219	-
2018	서대문구	충현동	788	577	211	138	85	53	38	27	11	612	465	147	-
2018	서대문구	북아현동	562	419	143	100	71	29	24	14	10	438	334	104	-
2018	서대문구	신촌동	545	383	162	60	42	18	23	17	6	462	324	138	-
2018	서대문구	연희동	1,365	998	367	172	116	56	36	26	10	1,157	856	301	-
2018	마포구	소계	11,097	7,925	3,172	1,956	1,288	668	935	603	332	8,206	6,034	2,172	-
2018	마포구	용강동	576	391	185	148	47	101	49	31	18	379	313	66	-
2018	마포구	대흥동	542	413	129	106	81	25	42	33	9	394	299	95	-
2018	마포구	염리동	431	325	106	87	64	23	19	10	9	325	251	74	-
2018	마포구	신수동	633	483	150	58	44	14	8	7	1	567	432	135	-
2018	마포구	서교동	655	467	188	68	57	11	89	77	12	498	333	165	-
2018	마포구	합정동	590	455	135	57	44	13	25	19	6	508	392	116	-
2018	마포구	망원1동	947	663	284	166	120	46	24	16	8	757	527	230	-
2018	마포구	망원2동	548	278	270	75	35	40	52	19	33	421	224	197	-
2018	마포구	연남동	474	326	148	69	42	27	29	18	11	376	266	110	-
2018	마포구	성산1동	542	408	134	138	94	44	35	28	7	369	286	83	-
2018	마포구	성산2동	1,412	1,076	336	413	323	90	75	51	24	924	702	222	-
2018	마포구	상암동	460	247	213	118	44	74	35	15	20	307	188	119	-
2018	마포구	도화동	726	497	229	146	97	49	37	21	16	543	379	164	-
2018	마포구	서강동	567	414	153	94	61	33	31	7	24	442	346	96	-
2018	마포구	공덕동	1,520	1,130	390	127	70	57	360	243	117	1,033	817	216	-
2018	마포구	아현동	474	352	122	86	65	21	25	8	17	363	279	84	-
2018	양천구	소계	13,864	10,233	3,631	3,072	2,186	886	881	483	398	9,911	7,564	2,347	-
2018	양천구	목1동	397	302	95	73	48	25	17	11	6	307	243	64	-
2018	양천구	목2동	878	667	211	129	100	29	45	24	21	704	543	161	-
2018	양천구	목3동	625	460	165	130	85	45	56	37	19	439	338	101	-
2018	양천구	목4동	599	406	193	138	91	47	16	10	6	445	305	140	-
2018	양천구	신월1동	1,417	1,068	349	361	249	112	92	55	37	964	764	200	-
2018	양천구	신월2동	651	526	125	146	99	47	64	38	26	441	389	52	-
2018	양천구	신월3동	1,224	954	270	272	210	62	91	55	36	861	689	172	-
2018	양천구	신월4동	527	389	138	62	43	19	35	14	21	430	332	98	-
2018	양천구	신월5동	433	344	89	107	81	26	31	18	13	295	245	50	-
2018	양천구	신월6동	192	151	41	26	18	8	4	3	1	162	130	32	-
2018	양천구	신월7동	1,024	740	284	154	107	47	112	52	60	758	581	177	-
2018	양천구	신정1동	388	258	130	55	36	19	13	11	2	320	211	109	-
2018	양천구	신정2동	674	460	214	171	108	63	54	25	29	449	327	122	-
2018	양천구	신정3동	1,822	1,320	502	521	373	148	132	76	56	1,169	871	298	-
2018	양천구	신정6동	288	183	105	3	-	3	3	-	3	282	183	99	-
2018	양천구	신정7동	1,085	808	277	462	348	114	67	30	37	556	430	126	-
2018	양천구	목5동	438	220	218	9	5	4	4	-	4	425	215	210	-
2018	양천구	신정4동	1,202	977	225	253	185	68	45	24	21	904	768	136	-
2018	강서구	소계	17,468	13,142	4,326	5,115	3,587	1,528	1,128	677	451	11,225	8,878	2,347	-
2018	강서구	염창동	566	428	138	41	36	5	38	22	16	487	370	117	-
2018	강서구	등촌1동	649	370	279	37	28	9	3	-	3	609	342	267	-
2018	강서구	등촌2동	414	307	107	79	49	30	31	18	13	304	240	64	-
2018	강서구	등촌3동	1,961	1,320	641	1,038	720	318	137	90	47	786	510	276	-
2018	강서구	화곡본동	934	749	185	221	132	89	62	38	24	651	579	72	-
2018	강서구	화곡2동	441	330	111	88	65	23	31	26	5	322	239	83	-
2018	강서구	화곡3동	622	195	427	108	40	68	20	4	16	494	151	343	-
2018	강서구	화곡4동	668	538	130	174	123	51	36	25	11	458	390	68	-
2018	강서구	화곡6동	721	580	141	119	71	48	34	15	19	568	494	74	-
2018	강서구	화곡8동	821	665	156	185	142	43	20	17	3	616	506	110	-
2018	강서구	가양1동	359	301	58	19	15	4	23	13	10	317	273	44	-
2018	강서구	가양2동	1,209	920	289	655	449	206	183	117	66	371	354	17	-
2018	강서구	가양3동	960	728	232	554	395	159	-	-	-	406	333	73	-
2018	강서구	발산1동	644	512	132	155	99	56	51	30	21	438	383	55	-
2018	강서구	공항동	782	603	179	214	148	66	49	27	22	519	428	91	-
2018	강서구	방화1동	981	754	227	195	134	61	75	47	28	711	573	138	-
2018	강서구	방화2동	1,150	891	259	373	273	100	76	53	23	701	565	136	-
2018	강서구	방화3동	1,307	980	327	473	351	122	128	41	87	706	588	118	-
2018	강서구	화곡1동	1,506	1,360	146	253	224	29	66	52	14	1,187	1,084	103	-
2018	강서구	우장산동	773	611	162	134	93	41	65	42	23	574	476	98	-
2018	구로구	소계	13,427	10,187	3,240	1,698	1,188	510	2,393	1,539	854	9,336	7,460	1,876	-
2018	구로구	신도림동	553	402	151	26	20	6	46	30	16	481	352	129	-
2018	구로구	구로1동	307	215	92	11	7	4	22	12	10	274	196	78	-
2018	구로구	구로3동	713	530	183	72	43	29	110	63	47	531	424	107	-
2018	구로구	구로4동	1,103	822	281	161	113	48	218	143	75	724	566	158	-
2018	구로구	구로5동	861	645	216	70	47	23	102	62	40	689	536	153	-
2018	구로구	고척1동	770	585	185	71	57	14	111	77	34	588	451	137	-
2018	구로구	고척2동	984	747	237	146	102	44	189	117	72	649	528	121	-
2018	구로구	개봉2동	888	695	193	117	89	28	161	112	49	610	494	116	-
2018	구로구	개봉3동	736	552	184	116	80	36	151	102	49	469	370	99	-
2018	구로구	오류1동	857	660	197	136	97	39	206	133	73	515	430	85	-
2018	구로구	오류2동	1,243	964	279	160	109	51	245	152	93	838	703	135	-
2018	구로구	수궁동	779	607	172	84	55	29	132	82	50	563	470	93	-
2018	구로구	가리봉동	819	595	224	158	110	48	190	130	60	471	355	116	-
2018	구로구	구로2동	1,500	1,144	356	205	145	60	279	177	102	1,016	822	194	-
2018	구로구	개봉1동	1,314	1,024	290	165	114	51	231	147	84	918	763	155	-
2018	금천구	소계	9,148	7,073	2,075	2,170	1,573	597	1,045	708	337	5,933	4,792	1,141	-
2018	금천구	가산동	660	530	130	144	105	39	60	46	14	456	379	77	-
2018	금천구	독산1동	1,133	908	225	296	222	74	138	105	33	699	581	118	-
2018	금천구	독산2동	875	674	201	234	167	67	109	77	32	532	430	102	-
2018	금천구	독산3동	1,082	836	246	220	164	56	94	60	34	768	612	156	-
2018	금천구	독산4동	627	497	130	132	104	28	72	46	26	423	347	76	-
2018	금천구	시흥1동	1,477	1,148	329	293	207	86	124	77	47	1,060	864	196	-
2018	금천구	시흥2동	769	561	208	262	180	82	117	75	42	390	306	84	-
2018	금천구	시흥3동	476	368	108	69	52	17	60	38	22	347	278	69	-
2018	금천구	시흥4동	854	669	185	199	155	44	119	73	46	536	441	95	-
2018	금천구	시흥5동	1,195	882	313	321	217	104	152	111	41	722	554	168	-
2018	영등포구	소계	14,330	10,324	4,006	2,214	1,682	532	481	310	171	11,635	8,332	3,303	-
2018	영등포구	여의동	1,019	620	399	18	9	9	3	1	2	998	610	388	-
2018	영등포구	당산1동	834	615	219	106	88	18	22	16	6	706	511	195	-
2018	영등포구	당산2동	746	513	233	40	30	10	13	12	1	693	471	222	-
2018	영등포구	양평1동	576	418	158	57	32	25	14	8	6	505	378	127	-
2018	영등포구	양평2동	490	346	144	41	27	14	17	11	6	432	308	124	-
2018	영등포구	신길1동	1,026	726	300	186	140	46	66	43	23	774	543	231	-
2018	영등포구	신길3동	804	590	214	138	93	45	33	18	15	633	479	154	-
2018	영등포구	신길4동	586	442	144	142	108	34	37	21	16	407	313	94	-
2018	영등포구	신길5동	518	378	140	92	66	26	29	22	7	397	290	107	-
2018	영등포구	신길6동	711	519	192	99	70	29	20	13	7	592	436	156	-
2018	영등포구	신길7동	349	231	118	27	19	8	10	6	4	312	206	106	-
2018	영등포구	대림1동	765	559	206	106	74	32	30	21	9	629	464	165	-
2018	영등포구	대림2동	764	565	199	121	74	47	28	16	12	615	475	140	-
2018	영등포구	대림3동	892	668	224	148	109	39	40	27	13	704	532	172	-
2018	영등포구	영등포본동	1,103	824	279	223	181	42	33	24	9	847	619	228	-
2018	영등포구	영등포동	1,405	1,111	294	427	376	51	26	18	8	952	717	235	-
2018	영등포구	도림동	895	630	265	163	126	37	38	19	19	694	485	209	-
2018	영등포구	문래동	847	569	278	80	60	20	22	14	8	745	495	250	-
2018	동작구	소계	13,550	10,048	3,502	2,201	1,549	652	1,190	719	471	10,159	7,780	2,379	-
2018	동작구	노량진2동	1,061	843	218	213	159	54	67	45	22	781	639	142	-
2018	동작구	상도1동	1,270	731	539	306	183	123	197	111	86	767	437	330	-
2018	동작구	상도2동	858	623	235	130	88	42	74	40	34	654	495	159	-
2018	동작구	상도3동	802	600	202	120	86	34	86	43	43	596	471	125	-
2018	동작구	상도4동	1,070	847	223	255	192	63	217	136	81	598	519	79	-
2018	동작구	사당1동	766	596	170	107	87	20	41	27	14	618	482	136	-
2018	동작구	사당3동	714	583	131	86	56	30	17	11	6	611	516	95	-
2018	동작구	사당4동	541	420	121	75	54	21	64	36	28	402	330	72	-
2018	동작구	사당5동	424	329	95	62	41	21	34	17	17	328	271	57	-
2018	동작구	대방동	1,163	862	301	183	130	53	129	94	35	851	638	213	-
2018	동작구	신대방1동	655	492	163	82	61	21	45	29	16	528	402	126	-
2018	동작구	신대방2동	519	407	112	111	82	29	48	30	18	360	295	65	-
2018	동작구	흑석동	1,304	902	402	126	86	40	50	37	13	1,128	779	349	-
2018	동작구	노량진1동	1,235	873	362	194	138	56	86	45	41	955	690	265	-
2018	동작구	사당2동	1,168	940	228	151	106	45	35	18	17	982	816	166	-
2018	관악구	소계	17,358	13,345	4,013	3,061	2,246	815	685	456	229	13,612	10,643	2,969	-
2018	관악구	보라매동	930	637	293	162	116	46	24	16	8	744	505	239	-
